time,full_law_boundary_fraction,full_law_transfer_efficiency,full_law_edge_bulk_ratio,full_law_coherence,principal_branch_boundary_fraction,principal_branch_transfer_efficiency,principal_branch_edge_bulk_ratio,principal_branch_coherence,no_topology_feedback_boundary_fraction,no_topology_feedback_transfer_efficiency,no_topology_feedback_edge_bulk_ratio,no_topology_feedback_coherence,fixed_ruler_boundary_fraction,fixed_ruler_transfer_efficiency,fixed_ruler_edge_bulk_ratio,fixed_ruler_coherence
0.0,0.48317113461429756,5.396262978507106,1.0647932350232168,1.0,0.48317113461429756,5.396262978507106,1.0647932350232168,1.0,0.48317113461429756,5.396262978507106,1.0506764137143807,1.0,0.48317113461429756,5.396262978507106,1.0647936894968562,1.0
0.03,0.49412433703574576,5.579000326458638,1.104097145530872,1.0,0.49412433703574576,5.579000326458637,1.104097145530872,0.9999999999999998,0.4907884902895259,5.542452271806931,1.0747591259405835,1.0,0.49412444372565717,5.579002993697421,1.1040956558656372,1.0
0.06,0.503185849267067,5.730422329883909,1.1322884121910595,1.0,0.503185849267067,5.730422329883909,1.1322884121910595,1.0,0.49645310924276714,5.653676578083399,1.0870574493502334,1.0,0.5031855119765999,5.730408949583652,1.132278579169182,1.0
0.09,0.5094879508865162,5.825441607155808,1.1462664517871763,0.9999999999999998,0.5094879508865162,5.825441607155808,1.1462664517871763,0.9999999999999998,0.49929752282061707,5.706546982470005,1.0851007678208584,0.9999999999999998,0.5094857806080474,5.825348089209004,1.1462390352877043,0.9999999999999998
0.12,0.5125537932176514,5.8463213925994095,1.145066366295919,1.0,0.5125537932176514,5.8463213925994095,1.145066366295919,1.0,0.498847123955727,5.685887924740644,1.068595662509114,1.0,0.5125478173923499,5.8460442609587195,1.1450137839145973,1.0
0.15,0.5122920798754595,5.786222793895852,1.1301671950597474,1.0,0.5122920798754595,5.786222793895852,1.1301671950597474,1.0,0.4950154033648154,5.587633985541555,1.03955434562541,1.0,0.5122806063400915,5.785668625375343,1.1300903276957261,1.0
0.18,0.5090193248872608,5.651017709209856,1.1055461257084511,1.0,0.5090193248872608,5.651017709209856,1.1055461257084511,1.0,0.48812916587709565,5.419851955854917,1.002171718503925,1.0,0.5090023262934512,5.650184787338093,1.1054602303369594,1.0
0.21,0.5035137110798785,5.458627315907777,1.0773559417569196,1.0,0.5035137110798786,5.458627315907775,1.0794045130839256,1.0,0.47898363880406836,5.20137773339051,0.9623681902412814,1.0,0.5034942875371121,5.457683920334434,1.077291799449202,1.0
0.24,0.49705640118700556,5.2357665054743086,1.0530960672949257,1.0,0.4975313059859619,5.240715053850131,1.0605139023219892,1.0,0.46887964543981,4.95818864414009,0.9269206542930751,1.0,0.497041517066475,5.23508595666005,1.0530946310107563,1.0
0.27,0.49136338220577275,5.0127294228126695,1.0402567750187433,1.0,0.4931177435795537,5.03006908709306,1.0542747440147695,1.0,0.45954570239211995,4.718297069753001,0.9022069605347998,1.0,0.4913630413402431,5.0128659113169025,1.0403597557621262,1.0
0.3,0.4882979405988692,4.817498841497143,1.0446631479158035,0.9999999999999999,0.4916429572150879,4.858264212094575,1.0657020496549494,0.9999999999999999,0.45284165872294296,4.506427036343206,0.8927975353213794,0.9999999999999999,0.4883226747228895,4.819124315093696,1.0449047526150066,0.9999999999999999
